bom_id,startdate
88109,2017-07-21 01:54:00
9581,2017-07-21 01:00:00
69128,2017-07-21 02:00:00
33317,2017-07-21 02:00:00
17126,2017-07-21 02:00:00
14932,2017-07-21 02:00:00
87031,2017-07-21 01:54:00
63005,2017-07-20 23:00:00
597504,2017-08-03 06:00:00
22046,2017-07-21 02:00:00
62100,2017-07-21 02:00:00
29077,2017-07-21 02:00:00
250099,2018-11-12 02:00:00
9518,2017-07-21 02:00:00
92019,2017-07-20 23:00:00
50137,2017-07-21 02:00:00
91126,2017-07-21 02:00:00
14031,2017-07-21 02:00:00
85151,2017-07-21 01:54:00
33247,2017-07-21 02:00:00
